Run ID,1625839163
Run Date/Time,2021-07-09 10:15:09
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,210709_Spot_HuDNA_Damage_siRNA_library.epr
User Name,NCI-LRBGE_HCS

[EXCEPTIONS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[2],HT000904,384LDV_Plus_AQ_GP,G11,2.355,11.998,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G12,2.358,12.012,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G13,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G14,2.323,11.858,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G15,2.352,11.985,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G16,2.371,12.072,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G17,2.356,12.005,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G18,2.359,12.018,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G19,2.322,11.851,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G20,2.322,11.851,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G21,2.307,11.784,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G22,2.322,11.852,0.442,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H1,2.358,12.012,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H2,2.344,11.951,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H3,2.322,11.851,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H4,2.365,12.045,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H5,2.361,12.025,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H6,2.381,12.119,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H7,2.398,12.192,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H8,2.371,12.072,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H9,2.369,12.065,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H10,2.386,12.139,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H11,2.375,12.092,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H12,2.371,12.072,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H13,2.35,11.978,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H14,2.337,11.918,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H15,2.366,12.052,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H16,2.364,12.038,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H17,2.356,12.005,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H18,2.346,11.958,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H19,2.358,12.012,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H20,2.31,11.797,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H21,2.319,11.838,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,H22,2.306,11.777,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I1,2.353,11.991,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I2,2.362,12.032,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I3,2.315,11.818,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I4,2.378,12.105,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I5,2.378,12.105,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I6,2.404,12.219,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I7,2.384,12.132,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I8,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I9,2.378,12.105,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I10,2.414,12.266,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I11,2.371,12.072,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I12,2.398,12.198,0.933,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I13,2.381,12.119,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I14,2.38,12.112,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I15,2.378,12.105,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I16,2.365,12.045,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I17,2.374,12.085,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I18,2.354,11.997,0.54,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I19,2.301,11.757,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I20,2.326,11.871,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I21,2.346,11.958,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,I22,2.323,11.858,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J1,2.352,11.985,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J2,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J3,2.347,11.965,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J4,2.346,11.958,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J5,2.399,12.199,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J6,2.359,12.018,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J7,2.304,11.771,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J8,2.368,12.058,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J9,2.352,11.985,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J10,2.402,12.212,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J11,2.349,11.971,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J12,2.371,12.072,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J13,2.361,12.025,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J14,2.329,11.884,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J15,2.378,12.105,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,J16,2.368,12.058,0.408,Percent,Glycerol,
