Run ID,1640007333
Run Date/Time,2021-12-20 08:52:39
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,211220_Add_siRNA_Controls_HuKinase.epr
User Name,NCI-LRBGE_HCS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384LDV_Plus_AQ_GP,A18,Destination[1]-05,HT001063,384PP_PerkinElmer_CellCarrier_Ultra_Dest,I23,0,0,,,150,150,10.715,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,C18,Destination[1]-05,HT001063,384PP_PerkinElmer_CellCarrier_Ultra_Dest,M23,0,0,,,150,150,10.51,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,D18,Destination[1]-05,HT001063,384PP_PerkinElmer_CellCarrier_Ultra_Dest,O23,0,0,,,150,150,10.518,0.408,Percent,Glycerol,
Source[1],,384LDV_Plus_AQ_GP,H18,Destination[1]-05,HT001063,384PP_PerkinElmer_CellCarrier_Ultra_Dest,H23,0,0,,,150,150,10.44,0.408,Percent,Glycerol,

Instrument Name,E5XX-1710
Instrument Model,Echo 525
Instrument Serial Number,E5XX-1710
Instrument Software Version,2.5.15

